,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
2304,2.177612328724679e-22,1.5499417,0.169664758789861,0.04677070905749202,2.177612328724679e-22,11,CXCL1
2305,1.653284562796047e-21,0.8680772,0.214227309893704,0.09250959275142683,1.653284562796047e-21,11,UBALD2
2306,3.2121621819656484e-21,1.6157801,0.17252657399836469,0.05666978363911908,3.2121621819656484e-21,11,INAFM2
2307,6.647423775725682e-21,1.041651,0.21545380212591986,0.09446038757940219,6.647423775725682e-21,11,FOSB
2308,7.100112244938996e-21,0.7050109,0.22812755519215044,0.10748718279431206,7.100112244938996e-21,11,TMEM185B
2309,7.922329428771378e-21,0.8812914,0.19582992641046607,0.075935897849289,7.922329428771378e-21,11,BTBD19
2310,2.5591900207834145e-20,0.6787367,0.24121013900245297,0.1215941701866959,2.5591900207834145e-20,11,TMEM43
2311,2.6026887043626672e-20,0.9861985,0.19419460343417824,0.07827362718859833,2.6026887043626672e-20,11,TINF2
2312,1.3522057475951872e-19,1.2273355,0.16721177432542927,0.053558185277141845,1.3522057475951872e-19,11,CCDC71L
2314,2.3404570525278403e-19,0.8061286,0.22281275551921503,0.10785799503434043,2.3404570525278403e-19,11,SECTM1
2315,3.2846977915841408e-19,1.0551575,0.1892886345053148,0.0772579240963467,3.2846977915841408e-19,11,ILK
2316,4.120929084809086e-19,1.17075,0.2035977105478332,0.09360590720020637,4.120929084809086e-19,11,OASL
2317,7.366472150511483e-19,0.7387481,0.21054783319705642,0.09492793344726405,7.366472150511483e-19,11,NFKBID
2318,1.0068584388205903e-18,0.83719176,0.21504497138184792,0.10271499048785993,1.0068584388205903e-18,11,IL13RA1
2319,1.3065904989623044e-18,4.067821,0.11733442354865085,0.008996227388514494,1.3065904989623044e-18,11,IL6
2321,3.2599491081090135e-18,2.6205957,0.12551103843008996,0.017621642537000614,3.2599491081090135e-18,11,CCL3L1
2322,7.46582241393657e-18,1.2231137,0.1839738348323794,0.07730629091026343,7.46582241393657e-18,11,ADPRHL2
2323,7.830103499037397e-18,0.5442721,0.29844644317252655,0.18010189275465127,7.830103499037397e-18,11,GBP1
2324,6.855208200553932e-17,2.1341515,0.1402289452166803,0.03693612356108729,6.855208200553932e-17,11,CCL2
2325,9.410248802395175e-17,1.0718263,0.17416189697465248,0.0700835133653629,9.410248802395175e-17,11,TOLLIP
2326,1.6329222132041252e-16,1.0052832,0.21218315617334424,0.10985715667623255,1.6329222132041252e-16,11,TNIK
2327,2.5113297882480887e-16,0.6680346,0.19950940310711365,0.09180021281398124,2.5113297882480887e-16,11,HELZ2
2328,6.918125247449096e-16,0.6893394,0.22035977105478333,0.11548382936188051,6.918125247449096e-16,11,PLPP3
2329,7.911258142976292e-16,4.7060432,0.10466067048242028,0.004933415019507948,7.911258142976292e-16,11,SERPINB2
2330,8.770640491614057e-16,1.0361965,0.16762060506950122,0.06369909392835263,8.770640491614057e-16,11,DUSP2
2333,1.575530323721967e-15,1.7665416,0.13859362224039248,0.03975752103956405,1.575530323721967e-15,11,ARHGAP24
2334,1.9697412718921824e-15,1.1898543,0.14472608340147178,0.04390094476509851,1.9697412718921824e-15,11,BATF
2335,2.3704466049161862e-15,3.7748313,0.10670482420278005,0.00852868152065263,2.3704466049161862e-15,11,ACOD1
2338,4.7981345671280995e-15,1.0589087,0.15780866721177433,0.05731467449134234,4.7981345671280995e-15,11,PTPN7
2339,4.9773140921465565e-15,0.5772164,0.21136549468520033,0.10966368942056556,4.9773140921465565e-15,11,NSFL1C
2340,5.8053717722926534e-15,2.0777547,0.13409648405560098,0.03725856898719892,5.8053717722926534e-15,11,SPP1
2341,6.4906188757794545e-15,0.57246834,0.21504497138184792,0.11383935768871119,6.4906188757794545e-15,11,IFIH1
2342,8.15185065255969e-15,2.9062357,0.11651676206050696,0.020700996356366685,8.15185065255969e-15,11,TMEM158
2343,8.238387849879384e-15,1.6769329,0.13246116107931316,0.03603327636797472,8.238387849879384e-15,11,NFKBIB
2344,1.757766337286412e-14,0.89531904,0.14881439084219134,0.05068842098474833,1.757766337286412e-14,11,EXT1
2345,2.5529617320084054e-14,1.043182,0.16762060506950122,0.0718408409376713,2.5529617320084054e-14,11,SCAMP4
2346,3.772084439708212e-14,0.7927602,0.1643499591169256,0.06793925128172057,3.772084439708212e-14,11,TMEM120A
2347,8.562939292057514e-14,0.9546525,0.1757972199509403,0.0809176796827137,8.562939292057514e-14,11,APBB3
2348,1.2563604325950125e-13,0.72315836,0.15372035977105478,0.0585722116531777,1.2563604325950125e-13,11,IL4R
2349,1.6365696676440873e-13,0.83328694,0.15739983646770236,0.06340889304485216,1.6365696676440873e-13,11,TBK1
2350,1.6526450725346787e-13,2.5608015,0.10506950122649224,0.012897817044465224,1.6526450725346787e-13,11,HS3ST3A1
2351,1.7797424486381336e-13,1.0892607,0.15412919051512675,0.061167897333376325,1.7797424486381336e-13,11,SBF1
2352,2.3063726891942733e-13,3.3096101,0.10343417825020441,0.01233353754876987,2.3063726891942733e-13,11,HIC1
2353,2.730805301167393e-13,0.93778765,0.16107931316434995,0.0684390416921936,2.730805301167393e-13,11,RNF141
2354,4.64598537840642e-13,1.0601887,0.15780866721177433,0.06652049140682939,4.64598537840642e-13,11,CCDC82
2356,6.399605228763696e-13,1.2081224,0.1418642681929681,0.05107535549608229,6.399605228763696e-13,11,SNX18
2357,6.529858948886197e-13,0.52536076,0.18887980376124286,0.09478283300551382,6.529858948886197e-13,11,PISD
2358,7.16898370607472e-13,0.9336702,0.19501226492232215,0.10498823074194692,7.16898370607472e-13,11,ISG15
2360,1.3549448988935737e-12,0.97350883,0.14677023712183157,0.05570244736078419,1.3549448988935737e-12,11,PLPPR2
2361,1.795371374019445e-12,1.1125406,0.14227309893704007,0.053348595750169286,1.795371374019445e-12,11,ZFYVE27
2362,1.8528873860111653e-12,1.3701303,0.13164349959116925,0.04306258665720827,1.8528873860111653e-12,11,C19orf38
2363,1.9841715856701005e-12,1.0821621,0.14595257563368766,0.05737916357656467,1.9841715856701005e-12,11,ETF1
2365,2.2103301877788952e-12,1.0670075,0.14349959116925592,0.05492857833811628,2.2103301877788952e-12,11,SRSF1
2367,2.253058986601345e-12,1.0414711,0.16762060506950122,0.07962789797826718,2.253058986601345e-12,11,TRIP6
2368,2.7894485669397477e-12,0.5929769,0.22730989370400653,0.12991326218037597,2.7894485669397477e-12,11,PTGS2
2370,3.143135918644076e-12,0.61873037,0.15576451349141454,0.06521458743107729,3.143135918644076e-12,11,PELI1
2371,3.146554736237918e-12,0.9955264,0.14840556009811937,0.06044239512462516,3.146554736237918e-12,11,RNF185
2372,3.491971182620915e-12,0.53117466,0.18192968111201963,0.09092961016347983,3.491971182620915e-12,11,CHKB
2374,6.68473285512687e-12,1.1603268,0.14513491414554375,0.05878180118015026,6.68473285512687e-12,11,ZNF580
2375,6.901595038863411e-12,0.89501697,0.15739983646770236,0.07055105923322477,6.901595038863411e-12,11,SIRT2
2377,7.500427798600531e-12,0.5861252,0.2473426001635323,0.15427401412310968,7.500427798600531e-12,11,MT-CO3
2378,9.297424151348171e-12,0.9224245,0.15699100572363042,0.07053493696191919,9.297424151348171e-12,11,TMEM170A
2379,1.345748591839828e-11,0.7704857,0.17293540474243663,0.08491600296649791,1.345748591839828e-11,11,C5AR2
2380,1.5182415216065988e-11,0.694343,0.17211774325429272,0.0855447715474156,1.5182415216065988e-11,11,GLA
2381,1.5555957733325674e-11,1.2781905,0.12346688470973018,0.0385805952342566,1.5555957733325674e-11,11,FCGR1B
2382,1.6166797439916493e-11,0.7511557,0.16475878986099754,0.07627446554670622,1.6166797439916493e-11,11,PLTP
2383,1.773772653889439e-11,0.83037645,0.1312346688470973,0.04528746009737852,1.773772653889439e-11,11,SGTB
2384,1.878724108646287e-11,0.6563033,0.1651676206050695,0.07843484990165414,1.878724108646287e-11,11,IL1RAP
2385,2.077453556612548e-11,1.5836655,0.1169255928045789,0.0329055557346919,2.077453556612548e-11,11,LONRF1
2387,2.435272820597465e-11,1.1370666,0.12919051512673754,0.043481765711153385,2.435272820597465e-11,11,SULF2
2388,3.289028917249964e-11,1.1209245,0.11978740801308259,0.035340018701834716,3.289028917249964e-11,11,HIVEP2
2389,3.378836284416189e-11,0.63336825,0.21136549468520033,0.12399638861122755,3.378836284416189e-11,11,IL3RA
2390,3.623450015289856e-11,0.7450734,0.1545380212591987,0.06998677973752943,3.623450015289856e-11,11,AZIN1
2391,4.2118044468812116e-11,0.96490467,0.1439084219133279,0.060023216070680036,4.2118044468812116e-11,11,TAF11
2392,5.339790700988855e-11,0.7425959,0.15944399018806213,0.0755005965240383,5.339790700988855e-11,11,AVL9
2394,8.989829546632131e-11,0.7498303,0.16475878986099754,0.08159481507754812,8.989829546632131e-11,11,KLF16
2395,1.035644147993062e-10,2.5208156,0.10057236304170074,0.01970141553542063,1.035644147993062e-10,11,DLL1
2397,1.1086496668767429e-10,0.741358,0.14963205233033525,0.06702028181730242,1.1086496668767429e-10,11,GUK1
2398,1.1617371175346513e-10,1.2258202,0.12755519215044972,0.04633540773224132,1.1617371175346513e-10,11,SIRT6
2399,1.3998548635827924e-10,1.132178,0.12224039247751431,0.041144036371844064,1.3998548635827924e-10,11,MOB3C
2400,3.074252474920363e-169,2.3288999,0.7168874172185431,0.49658373082377205,3.074252474920363e-169,12,S100A8
2401,2.167465266877441e-166,2.0477707,0.8054635761589404,0.6369408276395514,2.167465266877441e-166,12,S100A9
2402,1.5679231718386462e-93,1.8252152,0.6494205298013245,0.46292058785612994,1.5679231718386462e-93,12,G0S2
2403,2.4208452422607163e-86,2.498309,0.3480960264900662,0.11526685574319968,2.4208452422607163e-86,12,PROK2
2404,5.668198388852826e-84,1.7872317,0.4966887417218543,0.2816810622663401,5.668198388852826e-84,12,IL1R2
2405,1.2416848948264253e-77,2.0749152,0.3791390728476821,0.14960680675518886,1.2416848948264253e-77,12,ALPL
2406,1.9691223647002487e-72,1.7570027,0.43625827814569534,0.21287224442439087,1.9691223647002487e-72,12,ADGRG3
2407,3.6291723100029247e-72,1.8023292,0.42549668874172186,0.21955975248162948,3.6291723100029247e-72,12,FCAR
2408,6.210316110554954e-50,1.7687308,0.320364238410596,0.1327027201237592,6.210316110554954e-50,12,MMP25
2409,1.4438055625746387e-49,1.1147974,0.5761589403973509,0.49174938764986464,1.4438055625746387e-49,12,FOS
2410,1.9052320737210926e-45,1.8659316,0.29759933774834435,0.12854518499419879,1.9052320737210926e-45,12,MCTP2
2411,7.517596810671183e-44,0.94808453,0.6370033112582781,0.5868248034033776,7.517596810671183e-44,12,SAT1
2412,3.8179142412479115e-35,1.9110562,0.2388245033112583,0.0846654634523656,3.8179142412479115e-35,12,CD177
2413,2.1359318903515238e-29,2.27398,0.19039735099337748,0.05037385587211551,2.1359318903515238e-29,12,MGAM
2414,5.0369538486894564e-29,1.5234147,0.2644867549668874,0.12764277426840273,5.0369538486894564e-29,12,APOBEC3A
